latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
-31.0,-65.5,399.0,11.1,0.6917,12.0,6.4,0.9,4.4266,76.8,24.6793,0.1746,67.2001,54.6373,42.5208,9.5381,655.6471,1.4787,0.1224,4.6043,3.7683,3.1256,0.4612,45.2191,105.449,0.8016,112.1507,51.7738,6.7017,41.504,621.2861,16.0571,0.291,27.5973,20.2496,11.5402,5.8928,242.9954,16.0453,0.2119,35.6081,28.1532,19.5628,5.9647,337.839,14.5637,0.3932,20.1347,13.5096,5.571,5.3125,162.1149
-31.0,-65.0,1078.0,12.45,0.6817,13.4,7.0875,0.95,4.8315,85.05,23.2666,0.1508,70.7464,58.4063,47.4798,8.8054,700.8759,1.5828,0.1308,4.5052,3.75,2.9224,0.4907,44.9994,124.1658,0.7807,130.7351,58.6885,6.5693,45.8174,704.2621,14.6725,0.3054,24.2752,17.5024,9.6027,5.3457,210.029,14.7143,0.2158,32.0246,25.1758,17.3103,5.4334,302.1091,13.1555,0.4206,17.3501,11.2717,4.1946,4.7405,135.2608
-76.0,-67.5,83.0,4.95,0.2128,10.2,7.3917,5.25,1.5728,88.7,4.8636,0.0173,90.4189,88.0429,85.5553,1.5224,1056.5149,1.593,0.0993,7.1084,6.068,5.5154,0.6025,54.6116,25.8919,0.2726,43.1969,26.2757,17.305,7.1631,315.3086,20.4968,-0.3268,-10.5686,-23.2444,-31.0654,7.5957,-278.9331,19.1014,-0.3462,-8.5826,-20.4643,-27.684,7.0854,-245.5716,21.1393,-0.2973,-13.0893,-26.1936,-34.2286,7.7882,-314.3235
-31.0,-63.0,165.0,11.05,0.5753,12.7,7.5375,1.65,4.3365,90.45,19.3319,0.1121,75.8441,65.1656,56.5122,7.3079,781.9867,0.9943,0.0824,4.5744,4.0025,3.5801,0.3299,48.0304,125.3126,0.7074,134.9631,70.2896,9.6505,49.7247,843.4755,15.8009,0.2975,26.7405,19.2735,10.9396,5.7341,231.2821,15.1456,0.2098,33.6122,26.5243,18.4666,5.5642,318.2916,14.8055,0.4113,20.0824,12.9433,5.2769,5.323,155.3192
-31.0,-62.5,114.0,10.1,0.5159,12.45,7.925,2.35,4.0882,95.1,18.6121,0.104,76.8477,66.5665,58.2356,6.9258,798.7985,0.9943,0.0824,4.5744,4.0025,3.5801,0.3299,48.0304,122.1373,0.6628,132.919,74.0033,10.7817,49.0507,888.0396,15.7453,0.2904,27.0741,19.5069,11.3288,5.664,234.0833,15.5435,0.2214,32.8771,25.4728,17.3336,5.6399,305.674,14.7301,0.3758,21.1933,14.0187,6.4632,5.2681,168.2247
-31.0,-62.0,110.0,9.2,0.4726,11.95,7.8042,2.75,3.688,93.65,18.7022,0.1039,77.1297,66.8568,58.4275,6.9486,802.2812,0.9943,0.0852,4.4726,3.9773,3.4783,0.3388,47.7271,118.1697,0.6098,132.7181,80.9826,14.5484,49.3831,971.7912,15.5736,0.2925,26.6152,18.9995,11.0416,5.5579,227.9938,15.4195,0.2121,33.7121,26.1686,18.2926,5.5508,314.0234,14.2749,0.3981,19.7766,12.7467,5.5017,5.0741,152.9606
-31.0,-61.5,49.0,7.5,0.3956,10.65,7.6625,3.15,3.0315,91.95,18.9106,0.0971,78.5253,68.6815,59.6147,6.6681,824.1785,0.9943,0.0852,4.4726,3.9773,3.4783,0.3388,47.7271,125.1053,0.5519,145.7003,92.0233,20.595,50.7915,1104.2795,15.5433,0.2899,26.7413,19.0253,11.198,5.5145,228.3033,15.4438,0.2113,33.7801,26.0734,18.3363,5.5082,312.881,14.2412,0.3917,19.9506,12.8595,5.7094,5.0365,154.3138
-31.0,-61.0,30.0,7.5,0.3956,10.65,7.6625,3.15,3.0315,91.95,18.9106,0.0971,78.5253,68.6815,59.6147,6.6681,824.1785,1.1075,0.0813,4.5454,4.013,3.4379,0.3264,48.1558,125.1053,0.5519,145.7003,92.0233,20.595,50.7915,1104.2795,15.5433,0.2899,26.7413,19.0253,11.198,5.5145,228.3033,15.4438,0.2113,33.7801,26.0734,18.3363,5.5082,312.881,14.2412,0.3917,19.9506,12.8595,5.7094,5.0365,154.3138
-31.0,-60.5,30.0,7.5,0.3827,10.6,7.6333,3.1,2.9215,91.6,19.6325,0.0965,79.7584,69.8312,60.1259,6.7368,837.9749,1.1075,0.0813,4.5454,4.013,3.4379,0.3264,48.1558,125.0156,0.5394,146.8595,93.6851,21.8439,50.5359,1124.2206,15.4932,0.2849,27.0206,19.286,11.5274,5.4954,231.4318,15.4116,0.2093,33.9866,26.273,18.575,5.5,315.2759,14.1937,0.382,20.2472,13.1291,6.0535,5.0155,157.5496
-31.0,-60.0,96.0,6.55,0.2794,11.15,8.5958,4.6,2.4014,103.15,20.9622,0.0995,81.5475,71.0903,60.5853,7.0766,853.0838,1.1288,0.0825,4.5378,3.974,3.409,0.328,47.6878,122.2162,0.4521,152.5515,103.1406,30.3353,46.6301,1237.687,15.3691,0.2812,27.1344,19.4369,11.7653,5.4664,233.243,15.6916,0.2195,33.511,25.6627,17.8194,5.633,307.9526,13.9157,0.3576,20.7777,13.7709,6.862,4.9246,165.2513
