estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
estacion_virtual_581,Chubut,Patagonia,VIRTUAL,-44.0,-68.5,388.0,,6.75,0.323,10.95,6.95,4.2,2.2449,83.4,39.5963,0.2312,84.6939,63.6465,45.0976,14.7135,763.7581,1.3758,0.1151,4.6869,4.1592,3.3111,0.4786,49.9107,40.3783,0.4354,55.6518,30.0806,15.2735,13.0985,360.9675,16.4077,0.6238,17.6013,9.56,1.1936,5.9634,114.7205,19.12,0.4295,25.3826,16.2224,6.2626,6.9675,194.6691,11.8234,1.1979,9.5572,3.5986,-2.2662,4.3109,43.1831,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.66477777777777,75.36833333333334,238.77170833333335
estacion_virtual_582,Chubut,Patagonia,VIRTUAL,-44.0,-68.0,461.0,,4.35,0.3478,7.05,4.5708,2.7,1.5898,54.85,41.5523,0.2545,82.4033,60.2796,40.851,15.3434,723.355,1.5097,0.1253,4.5888,3.9994,3.0791,0.5011,47.9929,25.2928,0.4076,35.1105,20.9267,9.8177,8.5288,251.12,17.0847,0.5917,18.8596,10.4671,1.7749,6.1932,125.6055,19.3461,0.4085,26.5208,17.2162,7.1747,7.0333,206.5948,12.7674,1.0602,10.8322,4.3691,-1.9352,4.6322,52.4292,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,192.47850000000003,76.74280555555556,234.64370833333336
estacion_virtual_583,Chubut,Patagonia,VIRTUAL,-44.0,-67.5,307.0,,3.45,0.3033,5.65,3.8625,2.2,1.1715,46.35,42.1274,0.266,80.3229,58.1143,38.1955,15.4578,697.3721,1.5097,0.1253,4.5888,3.9994,3.0791,0.5011,47.9929,22.3391,0.3925,31.2355,19.1981,8.8964,7.535,230.3771,17.4978,0.5607,19.9191,11.2878,2.4213,6.329,135.4537,19.415,0.3933,27.3283,17.9365,7.9133,7.0548,215.2384,13.5379,0.9143,12.2141,5.3436,-1.3238,4.8858,64.123,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,192.47850000000003,76.74280555555556,234.64370833333336
estacion_virtual_584,Chubut,Patagonia,VIRTUAL,-44.0,-67.0,503.0,,2.65,0.2364,4.75,3.525,2.1,0.8333,42.3,42.8189,0.2744,79.743,57.3783,36.9241,15.7421,688.5399,1.4995,0.1259,4.4785,3.8787,2.979,0.4881,46.5441,21.5104,0.3846,30.3892,18.4721,8.8788,7.1036,221.6649,17.663,0.5578,20.2256,11.471,2.5626,6.3983,137.6516,19.4721,0.3903,27.6474,18.1965,8.1753,7.1028,218.3586,13.7758,0.9112,12.4762,5.4573,-1.2996,4.9729,65.488,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.73930555555557,76.83116666666668,221.17470833333334
estacion_virtual_585,Chubut,Patagonia,VIRTUAL,-44.0,-66.5,64.0,,2.3,0.2251,4.45,3.3792,2.15,0.7608,40.55,42.1392,0.2692,79.2995,57.5137,37.1603,15.4843,690.1644,1.4995,0.1259,4.4785,3.8787,2.979,0.4881,46.5441,24.4239,0.4234,33.844,19.1962,9.4201,8.1268,230.3542,17.4433,0.5496,20.1978,11.4981,2.7545,6.3191,137.9768,19.3522,0.3915,27.5495,18.0956,8.1973,7.0845,217.1475,13.4999,0.8665,12.5221,5.6228,-0.9778,4.8721,67.4738,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.73930555555557,76.83116666666668,221.17470833333334
estacion_virtual_586,Chubut,Patagonia,VIRTUAL,-44.0,-66.0,21.0,,2.3,0.2251,4.45,3.3792,2.15,0.7608,40.55,42.1392,0.2692,79.2995,57.5137,37.1603,15.4843,690.1644,1.6988,0.1467,4.7034,3.8975,3.0046,0.5719,46.7705,24.4239,0.4234,33.844,19.1962,9.4201,8.1268,230.3542,17.4433,0.5496,20.1978,11.4981,2.7545,6.3191,137.9768,19.3522,0.3915,27.5495,18.0956,8.1973,7.0845,217.1475,13.4999,0.8665,12.5221,5.6228,-0.9778,4.8721,67.4738,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,190.56838888888888,73.05919444444444,223.4300833333333
estacion_virtual_587,Chubut,Patagonia,VIRTUAL,-44.0,-65.5,0.0,,2.0,0.2157,4.35,3.3833,2.35,0.7297,40.6,37.1621,0.2328,77.6457,58.2978,40.4836,13.572,699.5739,1.6988,0.1467,4.7034,3.8975,3.0046,0.5719,46.7705,26.7714,0.4102,37.6423,19.9937,10.8709,8.2021,239.9248,16.3885,0.4988,19.9984,11.8439,3.6099,5.9075,142.1263,18.1075,0.3648,26.989,18.1112,8.8815,6.607,217.3349,12.9358,0.7364,12.8595,6.3192,-0.0763,4.6535,75.8306,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,190.56838888888888,73.05919444444444,223.4300833333333
estacion_virtual_588,Chubut,Patagonia,VIRTUAL,-43.5,-71.5,670.0,,9.1,0.2743,15.6,10.2333,6.5,2.8067,122.8,26.4872,0.1167,94.416,81.2332,67.9288,9.4833,974.7986,1.9533,0.1299,5.7771,5.0105,3.8238,0.651,60.126,87.2149,0.3662,133.0218,74.0478,45.8069,27.1183,888.5741,12.9721,0.8552,11.889,5.359,-1.0831,4.5833,64.3084,17.3331,0.5685,19.4168,10.7011,2.0837,6.0833,128.413,9.0993,3.6967,5.3218,0.8494,-3.7775,3.1399,10.1925,1405.913,1316.8187,-23.0859,23.4498,15.1812,8.759,20.4141,66.9498,176.1595,79.02769444444444,209.73337500000002
estacion_virtual_589,Chubut,Patagonia,VIRTUAL,-43.5,-71.0,870.0,,9.1,0.2743,15.6,10.2333,6.5,2.8067,122.8,26.4872,0.1167,94.416,81.2332,67.9288,9.4833,974.7986,1.7162,0.1454,4.9387,4.2417,3.2225,0.6166,50.9002,87.2149,0.3662,133.0218,74.0478,45.8069,27.1183,888.5741,12.9721,0.8552,11.889,5.359,-1.0831,4.5833,64.3084,17.3331,0.5685,19.4168,10.7011,2.0837,6.0833,128.413,9.0993,3.6967,5.3218,0.8494,-3.7775,3.1399,10.1925,1405.913,1316.8187,-23.0859,23.4498,15.1812,8.759,20.4141,66.9498,191.31102777777778,73.85783333333333,239.21237499999998
estacion_virtual_59,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.5,-49.0,332.0,,2.0,0.1175,6.85,5.5792,4.85,0.6556,66.95,2.4658,0.0078,92.9849,92.1951,90.5191,0.7202,1106.341,1.582,0.0917,6.6397,5.6478,5.0577,0.5178,50.8305,8.7648,0.1533,23.5407,18.1963,14.7759,2.7887,218.3555,25.2506,-0.3785,-9.3883,-24.304,-34.6389,9.199,-291.6479,23.8271,-0.4014,-7.6008,-21.7761,-31.4279,8.7402,-261.3132,26.1528,-0.347,-11.7485,-27.1601,-37.9013,9.4256,-325.9208,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,55.4141,101.9498,129.20525,63.14869444444444,165.56916666666666
