estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
estacion_virtual_753,Neuquén,Patagonia,VIRTUAL,-38.0000,-70.0000,1085.0000,,10.2500,0.4510,13.8000,8.1167,3.5500,3.6606,97.4000,30.6003,0.2007,71.4401,55.8828,40.8398,11.2164,670.5942,2.4726,0.2860,4.4066,3.3160,1.9340,0.9482,39.7923,59.5633,0.4914,78.4893,41.2812,18.9260,20.2873,495.3744,16.8465,0.5389,19.8917,11.2844,3.0452,6.0816,135.4127,19.6265,0.3657,28.9769,19.2978,9.3504,7.0581,231.5731,12.2574,1.0081,10.8684,4.4240,-1.3890,4.4598,53.0875,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_754,Neuquén,Patagonia,VIRTUAL,-38.0000,-69.5000,810.0000,,5.0000,0.3658,7.3500,4.6458,2.3500,1.6995,55.7500,32.8766,0.2345,68.6550,52.0827,35.7784,12.2119,624.9924,2.4726,0.2860,4.4066,3.3160,1.9340,0.9482,39.7923,25.9043,0.3412,40.1393,24.8597,14.2350,8.4821,298.3169,17.7678,0.4983,22.0398,12.9313,4.2720,6.4439,155.1751,19.8932,0.3438,30.9000,20.9513,11.0068,7.2034,251.4159,13.5565,0.8311,13.0590,5.9321,-0.4975,4.9302,71.1852,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_755,Neuquén,Patagonia,VIRTUAL,-38.0000,-69.0000,411.0000,,2.3500,0.2592,3.8500,2.4667,1.5000,0.6394,29.6000,32.9767,0.2496,65.8917,49.2696,32.9150,12.2981,591.2355,2.4631,0.2824,4.4900,3.3848,2.0269,0.9560,40.6171,21.8027,0.3930,33.4449,20.2027,11.6422,7.9389,242.4328,18.3380,0.4664,23.6481,14.2810,5.3101,6.6603,171.3715,19.9662,0.3292,32.0454,22.0462,12.0792,7.2580,264.5545,14.6332,0.7229,14.9770,7.3419,0.3438,5.3072,88.1029,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_756,Neuquén,Patagonia,VIRTUAL,-38.0000,-68.5000,328.0000,,2.3500,0.2592,3.8500,2.4667,1.5000,0.6394,29.6000,32.9767,0.2496,65.8917,49.2696,32.9150,12.2981,591.2355,2.4631,0.2824,4.4900,3.3848,2.0269,0.9560,40.6171,21.8027,0.3930,33.4449,20.2027,11.6422,7.9389,242.4328,18.3380,0.4664,23.6481,14.2810,5.3101,6.6603,171.3715,19.9662,0.3292,32.0454,22.0462,12.0792,7.2580,264.5545,14.6332,0.7229,14.9770,7.3419,0.3438,5.3072,88.1029,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_757,Río Negro,Patagonia,VIRTUAL,-38.0000,-68.0000,291.0000,,2.2500,0.2478,3.8000,2.3875,1.5500,0.5917,28.6500,33.2982,0.2570,65.4446,48.5113,32.1464,12.4674,582.1358,2.5380,0.2804,4.6851,3.5027,2.1471,0.9821,42.0321,22.4004,0.4032,33.6121,20.0973,11.2117,8.1024,241.1673,18.6147,0.4523,24.4370,14.9705,5.8223,6.7715,179.6459,20.0482,0.3257,32.4078,22.4002,12.3596,7.2956,268.8021,15.1201,0.6720,16.0250,8.1774,0.9049,5.4948,98.1292,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_758,La Pampa,Pampeana,VIRTUAL,-38.0000,-67.5000,275.0000,,1.9000,0.1961,3.8000,2.8417,1.9000,0.5571,34.1000,35.9467,0.2768,66.7191,48.4240,30.7724,13.4026,581.0884,2.5380,0.2804,4.6851,3.5027,2.1471,0.9821,42.0321,24.5662,0.3681,35.7058,21.1932,11.1396,7.8002,254.3184,19.2429,0.4466,25.4282,15.6670,6.1853,6.9970,188.0041,20.4411,0.3218,33.2799,23.0875,12.8388,7.4307,277.0500,15.8020,0.6447,17.1072,8.9047,1.3052,5.7408,106.8569,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_759,La Pampa,Pampeana,VIRTUAL,-38.0000,-67.0000,342.0000,,2.8500,0.2051,4.7500,3.5000,1.9000,0.7180,42.0000,36.4334,0.2753,67.3577,48.9805,30.9243,13.4841,587.7659,2.4747,0.2693,4.6776,3.5110,2.2029,0.9456,42.1315,25.7228,0.3212,36.0176,22.5207,10.2948,7.2339,270.2488,19.3567,0.4442,25.6243,15.7991,6.2676,7.0176,189.5897,20.5947,0.3220,33.4611,23.1777,12.8664,7.4634,278.1323,15.9652,0.6353,17.3836,9.0931,1.4184,5.7772,109.1167,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_76,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.0000,-47.0000,653.0000,,2.5500,0.1241,8.3500,6.6917,5.8000,0.8306,80.3000,5.8531,0.0201,97.7158,95.6675,91.8627,1.9218,1148.0105,1.5587,0.0927,7.2600,6.1542,5.7013,0.5708,55.3879,11.0200,0.1576,30.9102,23.7187,19.8902,3.7369,284.6249,25.9950,-0.4089,-8.0314,-23.5569,-34.0264,9.6315,-282.6826,24.3840,-0.4368,-6.2266,-20.8910,-30.6106,9.1252,-250.6926,26.7875,-0.3717,-10.3945,-26.4887,-37.1820,9.8457,-317.8645,1405.9130,1316.8187,-23.0859,23.4498,24.0000,0.0000,54.9141,101.4498
estacion_virtual_760,La Pampa,Pampeana,VIRTUAL,-38.0000,-66.5000,289.0000,,3.7500,0.2489,6.4500,4.8250,2.7000,1.2010,57.9000,35.3680,0.2603,67.7271,50.1516,32.3591,13.0543,601.8197,2.4747,0.2693,4.6776,3.5110,2.2029,0.9456,42.1315,30.7221,0.3225,43.4803,27.7697,12.7582,8.9553,333.2367,19.2637,0.4377,25.6612,15.8935,6.3975,6.9559,190.7221,20.4760,0.3170,33.5478,23.3141,13.0718,7.3915,279.7695,15.9690,0.6242,17.4633,9.1909,1.4943,5.7372,110.2907,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_761,La Pampa,Pampeana,VIRTUAL,-38.0000,-66.0000,213.0000,,3.7500,0.2489,6.4500,4.8250,2.7000,1.2010,57.9000,35.3680,0.2603,67.7271,50.1516,32.3591,13.0543,601.8197,2.1429,0.2276,4.6133,3.6315,2.4704,0.8265,43.5783,30.7221,0.3225,43.4803,27.7697,12.7582,8.9553,333.2367,19.2637,0.4377,25.6612,15.8935,6.3975,6.9559,190.7221,20.4760,0.3170,33.5478,23.3141,13.0718,7.3915,279.7695,15.9690,0.6242,17.4633,9.1909,1.4943,5.7372,110.2907,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_762,La Pampa,Pampeana,VIRTUAL,-38.0000,-65.5000,194.0000,,4.6000,0.3014,7.5000,5.5375,2.9000,1.6688,66.4500,34.9699,0.2436,70.1276,52.6834,35.1577,12.8335,632.2003,2.1429,0.2276,4.6133,3.6315,2.4704,0.8265,43.5783,41.6610,0.4087,54.7847,36.8254,13.1237,15.0497,441.9051,19.0360,0.4372,25.3276,15.6864,6.2916,6.8576,188.2372,20.2472,0.3178,33.1203,23.0101,12.8731,7.3125,276.1217,15.7173,0.6191,17.2221,9.0786,1.5048,5.6206,108.9438,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_763,La Pampa,Pampeana,VIRTUAL,-38.0000,-65.0000,170.0000,,5.4000,0.3435,8.4000,5.9625,3.0000,2.0482,71.5500,32.9861,0.2258,70.0666,53.8817,37.0805,12.1683,646.5805,1.9072,0.1997,4.6773,3.7421,2.7701,0.7474,44.9053,53.2667,0.4559,67.2482,45.5029,13.9815,20.7468,546.0350,18.6558,0.4342,24.9169,15.4341,6.2611,6.7021,185.2096,20.0040,0.3184,32.6860,22.6397,12.6820,7.2094,271.6767,15.2380,0.6067,16.8719,8.9688,1.6339,5.4411,107.6252,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
