estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
base_esperanza,6,,79.46000000000001,5.3,,-10.4,-6.2,-14.1,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,7,,79.45,5.1,,-10.8,-6.4,-15.0,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,8,,79.44,5.3,,-9.5,-5.1,-13.7,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,9,,79.43,5.5,,-6.9,-2.6,-10.9,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,10,,79.42,5.8,,-4.1,-0.2,-7.8,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,11,,79.41000000000001,6.0,,-0.9,2.3,-3.9,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,12,,79.4,6.0,,0.8,3.8,-1.8,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_marambio,1,,90.2,6.6,,-0.8,1.7,-3.0,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,2,,90.03636363636365,6.4,,-1.8,1.0,-4.2,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,3,,89.87272727272727,6.1,,-5.5,-2.1,-8.6,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,4,,89.70909090909092,5.7,,-10.0,-6.1,-13.7,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
